states,cases,date
up,0,15-Mar-20
ut,0,15-Mar-20
wb,0,15-Mar-20
an,0,15-Mar-20
ap,0,15-Mar-20
ar,0,15-Mar-20
as,0,15-Mar-20
br,0,15-Mar-20
ch,0,15-Mar-20
ct,0,15-Mar-20
dd,0,15-Mar-20
dl,0,15-Mar-20
dn,0,15-Mar-20
ga,0,15-Mar-20
gj,0,15-Mar-20
hp,0,15-Mar-20
hr,0,15-Mar-20
jh,0,15-Mar-20
jk,0,15-Mar-20
ka,0,15-Mar-20
kl,0,15-Mar-20
la,0,15-Mar-20
ld,0,15-Mar-20
mh,0,15-Mar-20
ml,0,15-Mar-20
mn,0,15-Mar-20
mp,0,15-Mar-20
mz,0,15-Mar-20
nl,0,15-Mar-20
or,0,15-Mar-20
pb,0,15-Mar-20
py,0,15-Mar-20
rj,0,15-Mar-20
sk,0,15-Mar-20
tg,0,15-Mar-20
tn,0,15-Mar-20
tr,0,15-Mar-20
tt,0,15-Mar-20
un,0,15-Mar-20
up,0,15-Mar-20
ut,0,15-Mar-20
wb,0,15-Mar-20
an,0,16-Mar-20
ap,0,16-Mar-20
ar,0,16-Mar-20
as,0,16-Mar-20
br,0,16-Mar-20
ch,0,16-Mar-20
ct,0,16-Mar-20
dd,0,16-Mar-20
dl,0,16-Mar-20
dn,0,16-Mar-20
ga,0,16-Mar-20
gj,0,16-Mar-20
hp,0,16-Mar-20
hr,0,16-Mar-20
jh,0,16-Mar-20
jk,1,16-Mar-20
ka,1,16-Mar-20
kl,3,16-Mar-20
la,0,16-Mar-20
ld,0,16-Mar-20
mh,6,16-Mar-20
ml,0,16-Mar-20
mn,0,16-Mar-20
mp,0,16-Mar-20
mz,0,16-Mar-20
nl,0,16-Mar-20
or,1,16-Mar-20
pb,0,16-Mar-20
py,1,16-Mar-20
rj,0,16-Mar-20
sk,0,16-Mar-20
tg,1,16-Mar-20
tn,0,16-Mar-20
tr,0,16-Mar-20
tt,15,16-Mar-20
un,0,16-Mar-20
up,0,16-Mar-20
ut,1,16-Mar-20
wb,0,16-Mar-20
an,0,16-Mar-20
ap,0,16-Mar-20
ar,0,16-Mar-20
as,0,16-Mar-20
br,0,16-Mar-20
ch,0,16-Mar-20
ct,0,16-Mar-20
dd,0,16-Mar-20
dl,0,16-Mar-20
dn,0,16-Mar-20
ga,0,16-Mar-20
gj,0,16-Mar-20
hp,0,16-Mar-20
hr,0,16-Mar-20
jh,0,16-Mar-20
jk,0,16-Mar-20
ka,0,16-Mar-20
kl,0,16-Mar-20
la,0,16-Mar-20
ld,0,16-Mar-20
mh,0,16-Mar-20
ml,0,16-Mar-20
mn,0,16-Mar-20
mp,0,16-Mar-20
mz,0,16-Mar-20
nl,0,16-Mar-20
or,0,16-Mar-20
pb,0,16-Mar-20
py,0,16-Mar-20
rj,0,16-Mar-20
sk,0,16-Mar-20
tg,0,16-Mar-20
tn,1,16-Mar-20
tr,0,16-Mar-20
tt,1,16-Mar-20
un,0,16-Mar-20
up,0,16-Mar-20
ut,0,16-Mar-20
wb,0,16-Mar-20
an,0,16-Mar-20
ap,0,16-Mar-20
ar,0,16-Mar-20
as,0,16-Mar-20
br,0,16-Mar-20
ch,0,16-Mar-20
ct,0,16-Mar-20
dd,0,16-Mar-20
dl,0,16-Mar-20
dn,0,16-Mar-20
ga,0,16-Mar-20
gj,0,16-Mar-20
hp,0,16-Mar-20
hr,0,16-Mar-20
jh,0,16-Mar-20
jk,0,16-Mar-20
ka,0,16-Mar-20
kl,0,16-Mar-20
la,0,16-Mar-20
ld,0,16-Mar-20
mh,0,16-Mar-20
ml,0,16-Mar-20
mn,0,16-Mar-20
mp,0,16-Mar-20
mz,0,16-Mar-20
nl,0,16-Mar-20
or,0,16-Mar-20
pb,0,16-Mar-20
py,0,16-Mar-20
rj,0,16-Mar-20
sk,0,16-Mar-20
tg,0,16-Mar-20
tn,0,16-Mar-20
tr,0,16-Mar-20
tt,0,16-Mar-20
un,0,16-Mar-20
up,0,16-Mar-20
ut,0,16-Mar-20
wb,0,16-Mar-20
an,0,17-Mar-20
ap,0,17-Mar-20
ar,0,17-Mar-20
as,0,17-Mar-20
br,0,17-Mar-20
ch,0,17-Mar-20
ct,0,17-Mar-20
dd,0,17-Mar-20
dl,1,17-Mar-20
dn,0,17-Mar-20
ga,0,17-Mar-20
gj,0,17-Mar-20
hp,0,17-Mar-20
hr,1,17-Mar-20
jh,0,17-Mar-20
jk,0,17-Mar-20
ka,2,17-Mar-20
kl,0,17-Mar-20
la,0,17-Mar-20
ld,0,17-Mar-20
mh,3,17-Mar-20
ml,0,17-Mar-20
mn,0,17-Mar-20
mp,0,17-Mar-20
mz,0,17-Mar-20
nl,0,17-Mar-20
or,0,17-Mar-20
pb,0,17-Mar-20
py,0,17-Mar-20
rj,0,17-Mar-20
sk,0,17-Mar-20
tg,1,17-Mar-20
tn,0,17-Mar-20
tr,0,17-Mar-20
tt,11,17-Mar-20
un,0,17-Mar-20
up,2,17-Mar-20
ut,0,17-Mar-20
wb,1,17-Mar-20
an,0,17-Mar-20
ap,0,17-Mar-20
ar,0,17-Mar-20
as,0,17-Mar-20
br,0,17-Mar-20
ch,0,17-Mar-20
ct,0,17-Mar-20
dd,0,17-Mar-20
dl,0,17-Mar-20
dn,0,17-Mar-20
ga,0,17-Mar-20
gj,0,17-Mar-20
hp,0,17-Mar-20
hr,0,17-Mar-20
jh,0,17-Mar-20
jk,0,17-Mar-20
ka,0,17-Mar-20
kl,0,17-Mar-20
la,0,17-Mar-20
ld,0,17-Mar-20
mh,0,17-Mar-20
ml,0,17-Mar-20
mn,0,17-Mar-20
mp,0,17-Mar-20
mz,0,17-Mar-20
nl,0,17-Mar-20
or,0,17-Mar-20
pb,0,17-Mar-20
py,0,17-Mar-20
rj,0,17-Mar-20
sk,0,17-Mar-20
tg,0,17-Mar-20
tn,0,17-Mar-20
tr,0,17-Mar-20
tt,1,17-Mar-20
un,0,17-Mar-20
up,1,17-Mar-20
ut,0,17-Mar-20
wb,0,17-Mar-20
an,0,17-Mar-20
ap,0,17-Mar-20
ar,0,17-Mar-20
as,0,17-Mar-20
br,0,17-Mar-20
ch,0,17-Mar-20
ct,0,17-Mar-20
dd,0,17-Mar-20
dl,0,17-Mar-20
dn,0,17-Mar-20
ga,0,17-Mar-20
gj,0,17-Mar-20
hp,0,17-Mar-20
hr,0,17-Mar-20
jh,0,17-Mar-20
jk,0,17-Mar-20
ka,0,17-Mar-20
kl,0,17-Mar-20
la,0,17-Mar-20
ld,0,17-Mar-20
mh,1,17-Mar-20
ml,0,17-Mar-20
mn,0,17-Mar-20
mp,0,17-Mar-20
mz,0,17-Mar-20
nl,0,17-Mar-20
or,0,17-Mar-20
pb,0,17-Mar-20
py,0,17-Mar-20
rj,0,17-Mar-20
sk,0,17-Mar-20
tg,0,17-Mar-20
tn,0,17-Mar-20
tr,0,17-Mar-20
tt,1,17-Mar-20
un,0,17-Mar-20
up,0,17-Mar-20
ut,0,17-Mar-20
wb,0,17-Mar-20
an,0,18-Mar-20
ap,0,18-Mar-20
ar,0,18-Mar-20
as,0,18-Mar-20
br,0,18-Mar-20
ch,0,18-Mar-20
ct,0,18-Mar-20
dd,0,18-Mar-20
dl,2,18-Mar-20
dn,0,18-Mar-20
ga,0,18-Mar-20
gj,0,18-Mar-20
hp,0,18-Mar-20
hr,1,18-Mar-20
jh,0,18-Mar-20
jk,1,18-Mar-20
ka,5,18-Mar-20
kl,0,18-Mar-20
la,8,18-Mar-20
ld,0,18-Mar-20
mh,3,18-Mar-20
ml,0,18-Mar-20
mn,0,18-Mar-20
mp,0,18-Mar-20
mz,0,18-Mar-20
nl,0,18-Mar-20
or,1,18-Mar-20
pb,1,18-Mar-20
py,0,18-Mar-20
rj,3,18-Mar-20
sk,0,18-Mar-20
tg,8,18-Mar-20
tn,1,18-Mar-20
tr,0,18-Mar-20
tt,37,18-Mar-20
un,0,18-Mar-20
up,2,18-Mar-20
ut,1,18-Mar-20
wb,0,18-Mar-20
an,0,18-Mar-20
ap,0,18-Mar-20
ar,0,18-Mar-20
as,0,18-Mar-20
br,0,18-Mar-20
ch,0,18-Mar-20
ct,0,18-Mar-20
dd,0,18-Mar-20
dl,0,18-Mar-20
dn,0,18-Mar-20
ga,0,18-Mar-20
gj,0,18-Mar-20
hp,0,18-Mar-20
hr,0,18-Mar-20
jh,0,18-Mar-20
jk,0,18-Mar-20
ka,0,18-Mar-20
kl,0,18-Mar-20
la,0,18-Mar-20
ld,0,18-Mar-20
mh,0,18-Mar-20
ml,0,18-Mar-20
mn,0,18-Mar-20
mp,0,18-Mar-20
mz,0,18-Mar-20
nl,0,18-Mar-20
or,0,18-Mar-20
pb,0,18-Mar-20
py,0,18-Mar-20
rj,0,18-Mar-20
sk,0,18-Mar-20
tg,0,18-Mar-20
tn,0,18-Mar-20
tr,0,18-Mar-20
tt,0,18-Mar-20
un,0,18-Mar-20
up,0,18-Mar-20
ut,0,18-Mar-20
wb,0,18-Mar-20
an,0,18-Mar-20
ap,0,18-Mar-20
ar,0,18-Mar-20
as,0,18-Mar-20
br,0,18-Mar-20
ch,0,18-Mar-20
ct,0,18-Mar-20
dd,0,18-Mar-20
dl,0,18-Mar-20
dn,0,18-Mar-20
ga,0,18-Mar-20
gj,0,18-Mar-20
hp,0,18-Mar-20
hr,0,18-Mar-20
jh,0,18-Mar-20
jk,0,18-Mar-20
ka,0,18-Mar-20
kl,0,18-Mar-20
la,0,18-Mar-20
ld,0,18-Mar-20
mh,0,18-Mar-20
ml,0,18-Mar-20
mn,0,18-Mar-20
mp,0,18-Mar-20
mz,0,18-Mar-20
nl,0,18-Mar-20
or,0,18-Mar-20
pb,0,18-Mar-20
py,0,18-Mar-20
rj,0,18-Mar-20
sk,0,18-Mar-20
tg,0,18-Mar-20
tn,0,18-Mar-20
tr,0,18-Mar-20
tt,0,18-Mar-20
un,0,18-Mar-20
up,0,18-Mar-20
ut,0,18-Mar-20
wb,0,18-Mar-20
an,0,19-Mar-20
ap,2,19-Mar-20
ar,0,19-Mar-20
as,0,19-Mar-20
br,0,19-Mar-20
ch,1,19-Mar-20
ct,1,19-Mar-20
dd,0,19-Mar-20
dl,4,19-Mar-20
dn,0,19-Mar-20
ga,0,19-Mar-20
gj,2,19-Mar-20
hp,0,19-Mar-20
hr,1,19-Mar-20
jh,0,19-Mar-20
jk,0,19-Mar-20
ka,1,19-Mar-20
kl,1,19-Mar-20
la,0,19-Mar-20
ld,0,19-Mar-20
mh,4,19-Mar-20
ml,0,19-Mar-20
mn,0,19-Mar-20
mp,0,19-Mar-20
mz,0,19-Mar-20
nl,0,19-Mar-20
or,0,19-Mar-20
pb,0,19-Mar-20
py,0,19-Mar-20
rj,2,19-Mar-20
sk,0,19-Mar-20
tg,3,19-Mar-20
tn,1,19-Mar-20
tr,0,19-Mar-20
tt,27,19-Mar-20
un,0,19-Mar-20
up,3,19-Mar-20
ut,1,19-Mar-20
wb,0,19-Mar-20
an,0,19-Mar-20
ap,0,19-Mar-20
ar,0,19-Mar-20
as,0,19-Mar-20
br,0,19-Mar-20
ch,0,19-Mar-20
ct,0,19-Mar-20
dd,0,19-Mar-20
dl,1,19-Mar-20
dn,0,19-Mar-20
ga,0,19-Mar-20
gj,0,19-Mar-20
hp,0,19-Mar-20
hr,0,19-Mar-20
jh,0,19-Mar-20
jk,0,19-Mar-20
ka,0,19-Mar-20
kl,0,19-Mar-20
la,0,19-Mar-20
ld,0,19-Mar-20
mh,0,19-Mar-20
ml,0,19-Mar-20
mn,0,19-Mar-20
mp,0,19-Mar-20
mz,0,19-Mar-20
nl,0,19-Mar-20
or,0,19-Mar-20
pb,0,19-Mar-20
py,0,19-Mar-20
rj,0,19-Mar-20
sk,0,19-Mar-20
tg,0,19-Mar-20
tn,0,19-Mar-20
tr,0,19-Mar-20
tt,5,19-Mar-20
un,0,19-Mar-20
up,4,19-Mar-20
ut,0,19-Mar-20
wb,0,19-Mar-20
an,0,19-Mar-20
ap,0,19-Mar-20
ar,0,19-Mar-20
as,0,19-Mar-20
br,0,19-Mar-20
ch,0,19-Mar-20
ct,0,19-Mar-20
dd,0,19-Mar-20
dl,0,19-Mar-20
dn,0,19-Mar-20
ga,0,19-Mar-20
gj,0,19-Mar-20
hp,0,19-Mar-20
hr,0,19-Mar-20
jh,0,19-Mar-20
jk,0,19-Mar-20
ka,0,19-Mar-20
kl,0,19-Mar-20
la,0,19-Mar-20
ld,0,19-Mar-20
mh,0,19-Mar-20
ml,0,19-Mar-20
mn,0,19-Mar-20
mp,0,19-Mar-20
mz,0,19-Mar-20
nl,0,19-Mar-20
or,0,19-Mar-20
pb,1,19-Mar-20
py,0,19-Mar-20
rj,0,19-Mar-20
sk,0,19-Mar-20
tg,0,19-Mar-20
tn,0,19-Mar-20
tr,0,19-Mar-20
tt,1,19-Mar-20
un,0,19-Mar-20
up,0,19-Mar-20
ut,0,19-Mar-20
wb,0,19-Mar-20
an,0,20-Mar-20
ap,0,20-Mar-20
ar,0,20-Mar-20
as,0,20-Mar-20
br,0,20-Mar-20
ch,4,20-Mar-20
ct,0,20-Mar-20
dd,0,20-Mar-20
dl,6,20-Mar-20
dn,0,20-Mar-20
ga,0,20-Mar-20
gj,5,20-Mar-20
hp,2,20-Mar-20
hr,2,20-Mar-20
jh,0,20-Mar-20
jk,0,20-Mar-20
ka,0,20-Mar-20
kl,12,20-Mar-20
la,2,20-Mar-20
ld,0,20-Mar-20
mh,4,20-Mar-20
ml,0,20-Mar-20
mn,0,20-Mar-20
mp,4,20-Mar-20
mz,0,20-Mar-20
nl,0,20-Mar-20
or,0,20-Mar-20
pb,1,20-Mar-20
py,0,20-Mar-20
rj,8,20-Mar-20
sk,0,20-Mar-20
tg,3,20-Mar-20
tn,0,20-Mar-20
tr,0,20-Mar-20
tt,58,20-Mar-20
un,0,20-Mar-20
up,4,20-Mar-20
ut,0,20-Mar-20
wb,1,20-Mar-20
an,0,20-Mar-20
ap,0,20-Mar-20
ar,0,20-Mar-20
as,0,20-Mar-20
br,0,20-Mar-20
ch,0,20-Mar-20
ct,0,20-Mar-20
dd,0,20-Mar-20
dl,2,20-Mar-20
dn,0,20-Mar-20
ga,0,20-Mar-20
gj,0,20-Mar-20
hp,0,20-Mar-20
hr,0,20-Mar-20
jh,0,20-Mar-20
jk,0,20-Mar-20
ka,1,20-Mar-20
kl,0,20-Mar-20
la,0,20-Mar-20
ld,0,20-Mar-20
mh,0,20-Mar-20
ml,0,20-Mar-20
mn,0,20-Mar-20
mp,0,20-Mar-20
mz,0,20-Mar-20
nl,0,20-Mar-20
or,0,20-Mar-20
pb,0,20-Mar-20
py,0,20-Mar-20
rj,0,20-Mar-20
sk,0,20-Mar-20
tg,0,20-Mar-20
tn,0,20-Mar-20
tr,0,20-Mar-20
tt,3,20-Mar-20
un,0,20-Mar-20
up,0,20-Mar-20
ut,0,20-Mar-20
wb,0,20-Mar-20
an,0,20-Mar-20
ap,0,20-Mar-20
ar,0,20-Mar-20
as,0,20-Mar-20
br,0,20-Mar-20
ch,0,20-Mar-20
ct,0,20-Mar-20
dd,0,20-Mar-20
dl,0,20-Mar-20
dn,0,20-Mar-20
ga,0,20-Mar-20
gj,0,20-Mar-20
hp,0,20-Mar-20
hr,0,20-Mar-20
jh,0,20-Mar-20
jk,0,20-Mar-20
ka,0,20-Mar-20
kl,0,20-Mar-20
la,0,20-Mar-20
ld,0,20-Mar-20
mh,0,20-Mar-20
ml,0,20-Mar-20
mn,0,20-Mar-20
mp,0,20-Mar-20
mz,0,20-Mar-20
nl,0,20-Mar-20
or,0,20-Mar-20
pb,0,20-Mar-20
py,0,20-Mar-20
rj,0,20-Mar-20
sk,0,20-Mar-20
tg,0,20-Mar-20
tn,0,20-Mar-20
tr,0,20-Mar-20
tt,0,20-Mar-20
un,0,20-Mar-20
up,0,20-Mar-20
ut,0,20-Mar-20
wb,0,20-Mar-20
an,0,21-Mar-20
ap,2,21-Mar-20
ar,0,21-Mar-20
as,0,21-Mar-20
br,0,21-Mar-20
ch,0,21-Mar-20
ct,0,21-Mar-20
dd,0,21-Mar-20
dl,7,21-Mar-20
dn,0,21-Mar-20
ga,0,21-Mar-20
gj,7,21-Mar-20
hp,0,21-Mar-20
hr,2,21-Mar-20
jh,0,21-Mar-20
jk,0,21-Mar-20
ka,5,21-Mar-20
kl,12,21-Mar-20
la,3,21-Mar-20
ld,0,21-Mar-20
mh,12,21-Mar-20
ml,0,21-Mar-20
mn,0,21-Mar-20
mp,0,21-Mar-20
mz,0,21-Mar-20
nl,0,21-Mar-20
or,0,21-Mar-20
pb,10,21-Mar-20
py,0,21-Mar-20
rj,7,21-Mar-20
sk,0,21-Mar-20
tg,2,21-Mar-20
tn,3,21-Mar-20
tr,0,21-Mar-20
tt,78,21-Mar-20
un,0,21-Mar-20
up,4,21-Mar-20
ut,0,21-Mar-20
wb,2,21-Mar-20
an,0,21-Mar-20
ap,0,21-Mar-20
ar,0,21-Mar-20
as,0,21-Mar-20
br,0,21-Mar-20
ch,0,21-Mar-20
ct,0,21-Mar-20
dd,0,21-Mar-20
dl,0,21-Mar-20
dn,0,21-Mar-20
ga,0,21-Mar-20
gj,0,21-Mar-20
hp,0,21-Mar-20
hr,0,21-Mar-20
jh,0,21-Mar-20
jk,0,21-Mar-20
ka,0,21-Mar-20
kl,0,21-Mar-20
la,0,21-Mar-20
ld,0,21-Mar-20
mh,0,21-Mar-20
ml,0,21-Mar-20
mn,0,21-Mar-20
mp,0,21-Mar-20
mz,0,21-Mar-20
nl,0,21-Mar-20
or,0,21-Mar-20
pb,0,21-Mar-20
py,0,21-Mar-20
rj,0,21-Mar-20
sk,0,21-Mar-20
tg,0,21-Mar-20
tn,0,21-Mar-20
tr,0,21-Mar-20
tt,0,21-Mar-20
un,0,21-Mar-20
up,0,21-Mar-20
ut,0,21-Mar-20
wb,0,21-Mar-20
an,0,21-Mar-20
ap,0,21-Mar-20
ar,0,21-Mar-20
as,0,21-Mar-20
br,0,21-Mar-20
ch,0,21-Mar-20
ct,0,21-Mar-20
dd,0,21-Mar-20
dl,0,21-Mar-20
dn,0,21-Mar-20
ga,0,21-Mar-20
gj,0,21-Mar-20
hp,0,21-Mar-20
hr,0,21-Mar-20
jh,0,21-Mar-20
jk,0,21-Mar-20
ka,0,21-Mar-20
kl,0,21-Mar-20
la,0,21-Mar-20
ld,0,21-Mar-20
mh,0,21-Mar-20
ml,0,21-Mar-20
mn,0,21-Mar-20
mp,0,21-Mar-20
mz,0,21-Mar-20
nl,0,21-Mar-20
or,0,21-Mar-20
pb,0,21-Mar-20
py,0,21-Mar-20
rj,0,21-Mar-20
sk,0,21-Mar-20
tg,0,21-Mar-20
tn,0,21-Mar-20
tr,0,21-Mar-20
tt,0,21-Mar-20
un,0,21-Mar-20
up,0,21-Mar-20
ut,0,21-Mar-20
wb,0,21-Mar-20
an,0,22-Mar-20
ap,1,22-Mar-20
ar,0,22-Mar-20
as,0,22-Mar-20
br,2,22-Mar-20
ch,1,22-Mar-20
ct,0,22-Mar-20
dd,0,22-Mar-20
dl,0,22-Mar-20
dn,0,22-Mar-20
ga,0,22-Mar-20
gj,4,22-Mar-20
hp,0,22-Mar-20
hr,0,22-Mar-20
jh,0,22-Mar-20
jk,0,22-Mar-20
ka,6,22-Mar-20
kl,15,22-Mar-20
la,0,22-Mar-20
ld,0,22-Mar-20
mh,10,22-Mar-20
ml,0,22-Mar-20
mn,0,22-Mar-20
mp,2,22-Mar-20
mz,0,22-Mar-20
nl,0,22-Mar-20
or,0,22-Mar-20
pb,8,22-Mar-20
py,0,22-Mar-20
rj,4,22-Mar-20
sk,0,22-Mar-20
tg,6,22-Mar-20
tn,3,22-Mar-20
tr,0,22-Mar-20
tt,67,22-Mar-20
un,0,22-Mar-20
up,2,22-Mar-20
ut,0,22-Mar-20
wb,3,22-Mar-20
an,0,22-Mar-20
ap,0,22-Mar-20
ar,0,22-Mar-20
as,0,22-Mar-20
br,0,22-Mar-20
ch,0,22-Mar-20
ct,0,22-Mar-20
dd,0,22-Mar-20
dl,0,22-Mar-20
dn,0,22-Mar-20
ga,0,22-Mar-20
gj,0,22-Mar-20
hp,0,22-Mar-20
hr,0,22-Mar-20
jh,0,22-Mar-20
jk,0,22-Mar-20
ka,0,22-Mar-20
kl,0,22-Mar-20
la,0,22-Mar-20
ld,0,22-Mar-20
mh,0,22-Mar-20
ml,0,22-Mar-20
mn,0,22-Mar-20
mp,0,22-Mar-20
mz,0,22-Mar-20
nl,0,22-Mar-20
or,0,22-Mar-20
pb,0,22-Mar-20
py,0,22-Mar-20
rj,0,22-Mar-20
sk,0,22-Mar-20
tg,0,22-Mar-20
tn,0,22-Mar-20
tr,0,22-Mar-20
tt,0,22-Mar-20
un,0,22-Mar-20
up,0,22-Mar-20
ut,0,22-Mar-20
wb,0,22-Mar-20
an,0,22-Mar-20
ap,0,22-Mar-20
ar,0,22-Mar-20
as,0,22-Mar-20
br,1,22-Mar-20
ch,0,22-Mar-20
ct,0,22-Mar-20
dd,0,22-Mar-20
dl,0,22-Mar-20
dn,0,22-Mar-20
ga,0,22-Mar-20
gj,1,22-Mar-20
hp,0,22-Mar-20
hr,0,22-Mar-20
jh,0,22-Mar-20
jk,0,22-Mar-20
ka,0,22-Mar-20
kl,0,22-Mar-20
la,0,22-Mar-20
ld,0,22-Mar-20
mh,1,22-Mar-20
ml,0,22-Mar-20
mn,0,22-Mar-20
mp,0,22-Mar-20
mz,0,22-Mar-20
nl,0,22-Mar-20
or,0,22-Mar-20
pb,0,22-Mar-20
py,0,22-Mar-20
rj,0,22-Mar-20
sk,0,22-Mar-20
tg,0,22-Mar-20
tn,0,22-Mar-20
tr,0,22-Mar-20
tt,3,22-Mar-20
un,0,22-Mar-20
up,0,22-Mar-20
ut,0,22-Mar-20
wb,0,22-Mar-20
an,0,23-Mar-20
ap,1,23-Mar-20
ar,0,23-Mar-20
as,0,23-Mar-20
br,1,23-Mar-20
ch,1,23-Mar-20
ct,0,23-Mar-20
dd,0,23-Mar-20
dl,3,23-Mar-20
dn,0,23-Mar-20
ga,0,23-Mar-20
gj,12,23-Mar-20
hp,1,23-Mar-20
hr,7,23-Mar-20
jh,0,23-Mar-20
jk,0,23-Mar-20
ka,7,23-Mar-20
kl,28,23-Mar-20
la,0,23-Mar-20
ld,0,23-Mar-20
mh,23,23-Mar-20
ml,0,23-Mar-20
mn,0,23-Mar-20
mp,0,23-Mar-20
mz,0,23-Mar-20
nl,0,23-Mar-20
or,0,23-Mar-20
pb,2,23-Mar-20
py,0,23-Mar-20
rj,4,23-Mar-20
sk,0,23-Mar-20
tg,6,23-Mar-20
tn,3,23-Mar-20
tr,0,23-Mar-20
tt,102,23-Mar-20
un,0,23-Mar-20
up,2,23-Mar-20
ut,1,23-Mar-20
wb,0,23-Mar-20
an,0,23-Mar-20
